name,lat,lon,continent
Mexico,23.634501,-102.552784,North America
Malaysia,4.210484,101.975766,Asia
Mozambique,-18.665695,35.529562,Africa
Namibia,-22.95764,18.49041,Africa
New Caledonia,-20.904305,165.618042,Oceania
Niger,17.607789,8.081666,Africa
Norfolk Island,-29.040835,167.954712,Oceania
Nigeria,9.081999,8.675277,Africa
Nicaragua,12.865416,-85.207229,North America
Netherlands,52.132633,5.291266,Europe
Norway,60.472024,8.468946,Europe
Nepal,28.394857,84.124008,Asia
Nauru,-0.522778,166.931503,Oceania
Niue,-19.054445,-169.867233,Oceania
New Zealand,-40.900557,174.885971,Oceania
Oman,21.512583,55.923255,Asia
Panama,8.537981,-80.782127,North America
Peru,-9.189967,-75.015152,South America
French Polynesia,-17.679742,-149.406843,Oceania
Papua New Guinea,-6.314993,143.95555,Oceania
Philippines,12.879721,121.774017,Asia
Pakistan,30.375321,69.345116,Asia
Poland,51.919438,19.145136,Europe
Saint Pierre and Miquelon,46.941936,-56.27111,North America
Pitcairn Islands,-24.703615,-127.439308,Oceania
Puerto Rico,18.220833,-66.590149,North America
Palestinian Territories,31.952162,35.233154,Asia
Portugal,39.399872,-8.224454,Europe
Palau,7.51498,134.58252,Oceania
Paraguay,-23.442503,-58.443832,South America
Qatar,25.354826,51.183884,Asia
Réunion,-21.115141,55.536384,Africa
Romania,45.943161,24.96676,Europe
Serbia,44.016521,21.005859,Europe
Russia,61.52401,105.318756,Europe/Asia
Rwanda,-1.940278,29.873888,Africa
Saudi Arabia,23.885942,45.079162,Asia
Solomon Islands,-9.64571,160.156194,Oceania
Seychelles,-4.679574,55.491977,Africa
Sudan,12.862807,30.217636,Africa
Sweden,60.128161,18.643501,Europe
Singapore,1.352083,103.819836,Asia
Saint Helena,-24.143474,-10.030696,Africa
Slovenia,46.151241,14.995463,Europe
Svalbard and Jan Mayen,77.553604,23.670272,Europe
Slovakia,48.669026,19.699024,Europe
Sierra Leone,8.460555,-11.779889,Africa
San Marino,43.933334,12.45,Europe
Senegal,14.497401,-14.452362,Africa
Somalia,5.152149,46.199616,Africa
Suriname,3.919305,-56.027783,South America
São Tomé and Príncipe,0.18636,6.613081,Africa
El Salvador,13.794185,-88.89653,North America
Syria,34.802075,38.996815,Asia
Swaziland,-26.522503,31.465866,Africa
Turks and Caicos Islands,21.694025,-71.797928,North America
Chad,15.454166,18.732207,Africa
French Southern Territories,-49.280366,69.348557,Antarctica
Togo,8.619543,0.824782,Africa
Thailand,15.870032,100.992541,Asia
Tajikistan,38.861034,71.276093,Asia
Tokelau,-9.200181,-171.848916,Oceania
Timor-Leste,-8.874217,125.727539,Asia
Turkmenistan,38.969719,59.556278,Asia
Tunisia,33.886917,9.537499,Africa
Tonga,-21.178986,-175.198242,Oceania
Turkey,38.963745,35.243322,Asia
Trinidad and Tobago,10.691803,-61.222503,North America
Tuvalu,-7.109535,179.194283,Oceania
Taiwan,23.69781,120.960515,Asia
Tanzania,-6.369028,34.888822,Africa
Ukraine,48.379433,31.16558,Europe
Uganda,1.373333,32.290275,Africa
U.S. Minor Outlying Islands,19.282319,166.647047,Oceania
United States,37.09024,-95.712891,North America
Uruguay,-32.522779,-55.765835,South America
Uzbekistan,41.377491,64.585262,Asia
Vatican City,41.902916,12.453389,Europe
Saint Vincent and the Grenadines,12.984305,-61.287228,North America
Venezuela,6.42375,-66.58973,South America
British Virgin Islands,18.420695,-64.639968,North America
U.S. Virgin Islands,18.335765,-64.896335,North America
Vietnam,14.058324,108.277199,Asia
Vanuatu,-15.376706,166.959158,Oceania
